bank,rating,count,avg_sentiment_score,positive_pct,negative_pct,neutral_pct
CBE,1,62,0.49344534050179206,51.61290322580645,29.03225806451613,19.35483870967742
CBE,2,36,0.47089506172839507,33.33333333333333,36.11111111111111,30.555555555555557
CBE,3,86,0.48473352713178286,41.86046511627907,32.55813953488372,25.581395348837212
CBE,4,125,0.49660333333333323,41.6,37.6,20.8
CBE,5,141,0.46879334121355387,46.808510638297875,39.00709219858156,14.184397163120568
BOA,1,132,0.47992108585858595,31.818181818181817,43.93939393939394,24.242424242424242
BOA,2,84,0.4289087301587302,45.23809523809524,41.66666666666667,13.095238095238097
BOA,3,95,0.483842105263158,46.31578947368421,30.526315789473685,23.157894736842106
BOA,4,86,0.4422238372093024,47.674418604651166,25.581395348837212,26.744186046511626
BOA,5,53,0.5058254716981133,45.28301886792453,32.075471698113205,22.641509433962266
Dashen,1,50,0.4054001262626262,66.0,20.0,14.000000000000002
Dashen,2,47,0.41243277186761224,57.446808510638306,17.02127659574468,25.53191489361702
Dashen,3,102,0.433867319023569,67.64705882352942,14.705882352941178,17.647058823529413
Dashen,4,119,0.4202245405738052,63.86554621848739,18.487394957983195,17.647058823529413
Dashen,5,132,0.3746772889883685,58.333333333333336,28.78787878787879,12.878787878787879
